OperatorControlNumber,DifficultyDate,SubmissionDate,OperatorDesignator,SubmitterDesignator,SubmitterTypeCode,ReceivingRegionCode,ReceivingDistrictOffice,SDRType,JASCCode,NatureOfConditionA,NatureOfConditionB,NatureOfConditionC,PrecautionaryProcedureA,PrecautionaryProcedureB,PrecautionaryProcedureC,PrecautionaryProcedureD,StageOfOperationCode,HowDiscoveredCode,RegistryNNumber,AircraftMake,AircraftModel,AircraftSerialNumber,AircraftTotalTime,AircraftTotalCycles,EngineMake,EngineModel,EngineSerialNumber,EngineTotalTime,EngineTotalCycles,PropellerMake,PropellerModel,PropellerSerialNumber,PropellerTotalTime,PropellerTotalCycles,PartMake,PartName,PartNumber,PartSerialNumber,PartCondition,PartLocation,PartTotalTime,PartTotalCycles,PartTimeSince,PartSinceCode,ComponentMake,ComponentModel,ComponentName,ComponentPartNumber,ComponentSerialNumber,ComponentLocation,ComponentTotalTime,ComponentTotalCycles,ComponentTimeSince,ComponentSinceCode,FuselageStationFrom,FuselageStationTo,StringerFrom,StringerFromSide,StringerTo,StringerToSide,WingStationFrom,WingStationFromSide,WingStationTo,WingStationToSide,ButtLineFrom,ButtLineFromSide,ButtlineTo,ButtlineToSide,WaterLineFrom,WaterLineTo,CrackLength,NumberOfCracks,CorrosionLevel,StructuralOther,Discrepancy
AALA202605200113,05/18/2026,"2026-05-20T18:42:39.400-05:00",AALA,AALA,A,SW,21,A,2560,L,,,K,,,,IN,C,411AN,AIRBUS,A321253NX,9318,20636,5720,,,,,,,,,,,,FLASHLIGHT,P2070003001,,"NO TEST","ZONE 200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AIRCRAFT WAS NOT GROUNDED: FLASHLIGHT AT THE L3 DOOR FLIGHT ATTENDANT SEAT IS NOT CHARGED. MAINTENANCE REPLACED THE FLASHLIGHT PER AMM 25-65-00."
AALA202605202225,05/19/2026,"2026-05-20T18:42:39.563-05:00",AALA,AALA,A,SW,21,A,3397,L,,,K,,,,IN,C,463AA,AIRBUS,A321253NX,11081,14370,3927,,,,,,,,,,,,WIRE,,,DAMAGED,"ZONE 200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AIRCRAFT WAS NOT GROUNDED: SEAT ROW 25 CBA EMERGENCY PATHWAY LIGHT INOPERTIVE DUE TO DAMAGED WIRING.     MAINTENANCE REPAIRED DAMAGED WIRE PER ESPM 20-43-10 AND ACCOMPLISHED A SATISFACTORY OPERATIONAL CHECK OF THE EMERGENCY LIGHTING SYSTEM WITH NO ISSUES NOTED."
AALA202605203496,05/19/2026,"2026-05-20T18:42:39.727-05:00",AALA,AALA,A,SW,21,A,3397,O,,,K,,,,IN,V,424AN,AIRBUS,A321253NX,10141,21081,5808,,,,,,,,,,,AIRBUS,WIRE,,,BROKEN,"ZONE 800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AIRCRAFT IN BASE MAINTENANCE: EMERGENCY EXIT LIGHT AT LEFT FORWARD PASSENGER DOOR AFT LOWER SURROUND PANEL HAS BROKEN WIRE AT CONNECTOR. MAINTENANCE RETERMINATED LEFT FORWARD PASSNGER DOOR EMERGENCY LIGHT PER ESPM 20-43-13, ESPM 20-48-24, AND AWM 33-51-06."
AALA202605204190,05/18/2026,"2026-05-20T18:42:39.890-05:00",AALA,AALA,A,SW,21,A,3350,L,,,K,,,,IN,C,806AW,AIRBUS,A319132,1056,79007,37583,,,,,,,,,,,DIEHL,BATTERY,AD321431,,"NO TEST","ZONE 200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AIRCRAFT IN BASE MAINTENANCE: WHILE PERFORMING OPERATIONAL CHECKS OF CIDS PER AMM 23-73-00-740-005. FOUND TWO FAULTS - EPSU INT LOAD AFT L AND EPSU INT LOAD EMER L. MAINTENANCE REPLACED EMERGENCY POWER SUPPLY UNIT BATTERIES AT POSITIONS 11WL (AALA202605204190) AND 13WL (AALA202605207178) PER AMM 33-51-38. A SATISFACTORY OPERATIONAL CHECK OF THE EMERGENCY LIGHTING SYSTEM WAS ACCOMPLISHED WITH NO FAULTS NOTED."
AALA202605203548,05/19/2026,"2026-05-20T18:42:40.053-05:00",AALA,AALA,A,SW,21,A,3350,L,,,K,,,,IN,C,760US,AIRBUS,A319112,1354,64708,40852,,,,,,,,,,,DIEHL,BATTERY,AD321431,,"NO TEST","ZONE 200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AIRCRAFT WAS NOT GROUNDED: LORWARD LEFT EMERGENCY POWER SUPPLY UNIT BATTERY FAILED DURING EMERGENCY LIGHTS TEST. REPLACED BATTERY AND ACCOMPLISHED A SATISFACTORY OPERATIONAL CHECK PER AMM 33-51-38."
AALA202605205986,05/19/2026,"2026-05-20T18:42:40.220-05:00",AALA,AALA,A,SW,21,A,2560,J,,,K,,,,IN,V,760US,AIRBUS,A319112,1354,64706,40851,,,,,,,,,,,AIRBUS,CIDS,Z010H000521A,010H00004000,FAULTED,"ZONE 100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AIRCRAFT WAS NOT GROUNDED: UPON POWER UP EMERGENCY CALL PUSHBUTTON AND EVACUATION COMMAND BUTTON ILLUMINATED. MAINTENANCE REPLACED THE #2 CIDS DIRECTOR AND ACCOMPLISHED A SATISFACTORY OPERATIONAL CHECK PER AMM 23-73-34."
AALA202605208886,05/19/2026,"2026-05-20T18:42:40.377-05:00",AALA,AALA,A,SW,21,A,7261,K,E,,E,A,,,CL,O,9006,AIRBUS,A319115,5761,33390,16557,CFMINT,CFM565B7,645821,34071,16620,,,,,,CFMINT,"OIL SYSTEM",,,LEAKING,"NR 1 ENGINE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AIRCRAFT WAS GROUNDED: AN EMERGENCY WAS DECLARED AND THE AIRCRAFT RETURNED TO ORD DUE TO THE FLIGHT CREW REPORTING A #1 ENGINE FAILURE AFTER TAKEOFF AT 5000FT. THE FLIGHT CREW REPORTED HEARING A LOUD BANG AND FELT VIBRATION, THE FLIGHT CREW SECURED THE ENGINE AND REPORTED 22 MINUTES SINGLE ENGINE FLIGHT. THE AIRCRAFT LANDED SAFELY AT ORD WITHOUT FURTHER INCIDENT. DURING THE POST FLIGHT INSPECTION THE #1 ENGINE OIL TANK WAS EMPTY WITH TURBINE BLADES AND OIL SITTING IN THE EXHAUST. MAINTENANCE REPLACED #1 ENGINE PER JOB CARD 26L40071001."
AALA202605203867,05/19/2026,"2026-05-20T18:42:40.540-05:00",AALA,AALA,A,SW,21,A,2820,J,,,O,,,,DE,O,836AW,AIRBUS,A319132,2570,57007,29225,,,,,,,,,,,EATON,VALVE,HTE2000021,M427GB0605,"WARNING MESSAGE",FUEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AIRCRAFT WAS NOT GROUNDED: DURING DESCENT RECEIVED ECAM MESSAGES OF FUEL LEFT OUTER TRANSFER OPEN AND RIGHT OUTER TRANSFER OPEN.  MAINTENANCE REPLACED TRANSFER VALVE ACTUATOR 9QP PER AMM 28-15-51 & ACCOMPLISHED A SAT OPS CHK WITH NO FAULTS NOTED."
AALA202605204345,05/19/2026,"2026-05-20T18:42:40.707-05:00",AALA,AALA,A,SW,21,A,2560,L,,,K,,,,IN,C,129AA,AIRBUS,A321231,6401,37033,12464,,,,,,,,,,,,FLASHLIGHT,P2070003001,,"OUT OF POSITION","ZONE 200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AIRCRAFT WAS NOT GROUNDED: L3 DOOR FLASHLIGHT FAILED CHARGING TEST. MAINTENANCE REPOSITIONED FLASHLIGHT IN RECHARGING RACK AND A SATISFACTORY CHARGING TEST WAS ACCOMPLISHED WITH NO ISSUES NOTED."
AALA202605202445,05/19/2026,"2026-05-20T18:42:40.870-05:00",AALA,AALA,A,SW,21,A,3350,L,,,K,,,,IN,C,133AN,AIRBUS,A321231,6482,36299,12343,,,,,,,,,,,DIEHL,"POWER SUPPLY",32146210,148150,"NO TEST","ZONE 200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AIRCRAFT WAS NOT GROUNDED: FAULT MESSAGE FOR EMERGENCY POWER SUPPLY UNIT 14WL DISPLAYED DURING SYSTEM TEST. REPLACED EMERGENCY POWER SUPPLY UNIT 14WL AND ACCOMPLISHED A SATISFACTORY OPERATIONAL CHECK OF THE EMERGENCY LIGHTING SYSTEM PER AMM 33-51-38."
AALA202605205901,05/19/2026,"2026-05-20T18:42:41.033-05:00",AALA,AALA,A,SW,21,A,2560,L,,,K,,,,IN,C,129AA,AIRBUS,A321231,6401,37033,12464,,,,,,,,,,,,FLASHLIGHT,P2070003001,,"OUT OF POSITION","ZONE 200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AIRCRAFT WAS NOT GROUNDED: L1 DOOR FLASHLIGHT FAILED CHARGING TEST. MAINTENANCE REPOSITIONED FLASHLIGHT IN RECHARGING RACK AND A SATISFACTORY CHARGING TEST WAS ACCOMPLISHED WITH NO ISSUES NOTED."
AALA202605206287,05/16/2026,"2026-05-20T18:42:41.200-05:00",AALA,AALA,A,SW,21,A,5270,J,,,O,,,,CR,O,979UY,AIRBUS,A321231,5763,39374,16395,,,,,,,,,,,ELDEC,"PROXIMITY SENSOR",DHE1141,,FAULTED,"ZONE 800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AIRCRAFT WAS GROUNDED: AN INTERMITTENT PRESSURIZATION LIGHT ON 4R DOOR, TRIGGERED OVER PRESSURE INDICATION ON 4R DOOR EACH TIME IT SHOWED UNARMED IN THE FLIGHT DECK (INDICATING AS IT SHOULD CABIN PRESSURIZED). EACH TIME FLIGHT ATTENDENT JIGGLED THE ARMED HANDLE THE ARMED INDICATION IN THE FLIGHT DECK WOULD ILLUMINATE AND THE OVER PRESSURE INDICATION ON THE 4R DOOR WOULD STOP. CABIN PRESSURE REMAINED STEADY AT ALL TIMES. MAINTENANCE REPLACED PROXIMITY SENSOR 7WN2 AND ACCOMPLISHED A SATISFACTORY OPERATIONAL CHECK PER AMM 52-71-11."
AALA202605207178,05/18/2026,"2026-05-20T18:42:41.373-05:00",AALA,AALA,A,SW,21,A,3350,L,,,K,,,,IN,C,806AW,AIRBUS,A319132,1056,79007,37583,,,,,,,,,,,DIEHL,BATTERY,AD321431,,"NO TEST","ZONE 200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AIRCRAFT IN BASE MAINTENANCE: WHILE PERFORMING OPERATIONAL CHECKS OF CIDS PER AMM 23-73-00-740-005. FOUND TWO FAULTS - EPSU INT LOAD AFT L AND EPSU INT LOAD EMER L. MAINTENANCE REPLACED EMERGENCY POWER SUPPLY UNIT BATTERIES AT POSITIONS 11WL (AALA202605204190) AND 13WL (AALA202605207178) PER AMM 33-51-38. A SATISFACTORY OPERATIONAL CHECK OF THE EMERGENCY LIGHTING SYSTEM WAS ACCOMPLISHED WITH NO FAULTS NOTED."
AALA202605200683,05/15/2026,"2026-05-20T19:27:33.727-05:00",AALA,AALA,A,SW,21,A,2841,J,,,O,,,,CR,O,886NN,BOEING,737823,33223,41687,17949,,,,,,,,,,,SIMMONDS,COMPARATOR,2020201,,FAILED,"ZONE 600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AIRCRAFT WAS GROUNDED: AT FL400 RIGHT FUEL REMAINING STARTED DROPPING FROM 7.0 REMAINING TO ABOUT 4.0 REMOVED AND REPLACED NUMBER 2 MAIN TANK FUEL COMPENSATOR PROBE. PER 28-41-21-401. PERFORMED B737 AMM 28-41-00-730-801 AND 28-41-21-710-801 DRY CAP AND RESISTANCE CAPACITY CHECK AND BITE CHECK GOOD."
AALA202605209972,05/15/2026,"2026-05-20T19:27:33.890-05:00",AALA,AALA,A,SW,21,A,7310,J,,,O,,,,CL,O,901NN,BOEING,737823,33226,40234,17389,CFMINT,CFM567B24E,,,,,,,,,,"FUEL FILTER",FA00631C,,CLOGGED,"NR 2 ENGINE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AIRCRAFT WAS NOT GROUNDED: FUEL FILTER BYPASS CAUTION LIGHT AFTER TAKE OFF.  LIGHT IS INTERMITTENT. REMOVED AND REPLACE NUMBER 2 ENGINE FUEL FILTER (AALA202605209972), PER MM 73-11-02. ALSO, REMOVED AND REPLACED FUEL FILTER DIFFERENTIAL PRESSURE SWITCH (AALA202605205803), PER MM 73-34-01. RAN ENGINE ALL PARAMETERS NORMAL AND LEAK CHECK GOOD."
AALA202605208658,05/14/2026,"2026-05-20T19:27:34.053-05:00",AALA,AALA,A,SW,21,A,2820,J,,,O,,,,TO,O,821NN,BOEING,737823,30912,48799,20693,,,,,,,,,,,,"WARNING MESSAGE",,,ILLUMINATED,"FUEL SYS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AIRCRAFT WAS NOT GROUNDED: DURING THE INITIATION OF THE TAKEOFF LOW PRESSURE LIGHT ON THE RIGHT CENTER TANK ILLUMINATED, FOLLOWED BY A MASTER CAUTION. THERE WAS 1,800LBS OF FUEL IN THE CENTER TANK.   TROUBLESHOT RIGHT HAND CENTER FUEL LOW PRESSURE LIGHT PER FIM 28-22-00-810-802. GVI OF R55 GFI CHECKS GOOD. CONTINUED TROUBLESHOOTING S155 CONNECTOR PIN 2 GROUND GOOD PIN 3 41.3 VDC CONNECTOR GOOD. CONTINUED TROUBLESHOOTING BY TRANSFERRING 3000LB OF FUEL FROM CENTER TANK USING RIGHT HAND CENTER PUMP UNABLE TO DUPLICATE FAULT. PER FIM 28-22-00-810-802 SUB TASK 810-007 (6) SUSPECTED INTERMEDIATE FAULT, NO FAULT FOUND."
AALA202605208221,05/16/2026,"2026-05-20T19:27:34.217-05:00",AALA,AALA,A,SW,21,A,2822,J,,,O,,,,TO,O,849NN,BOEING,737823,33213,47243,20006,,,,,,,,,,,HYDROAIRE,PUMP,607551005,061045730,"WARNING LIGHT","ZONE 600 FUEL",17085,7938,17085,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AIRCRAFT WAS NOT GROUNDED: FORWARD RIGHT WING FUEL PUMP LOW PRESSURE LIGHT ILLUMINATED SHORTLY AFTER TAKEOFF.   REMOVED AND REPLACED RIGHT HAND FORWARD WING FUEL PUMP. PER AMM 28-22-41, OPS AND LEAK CHECK GOOD."
AALA202605205803,05/15/2026,"2026-05-20T19:27:34.380-05:00",AALA,AALA,A,SW,21,A,7334,J,,,O,,,,TO,O,901NN,BOEING,737823,33226,40234,17389,CFMINT,CFM567B24E,,,,,,,,,,"PRESSURE SWITCH",8TJ201NAA1,,FAULTY,"ZONE 400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AIRCRAFT WAS NOT GROUNDED: FUEL FILTER BYPASS CAUTION LIGHT AFTER TAKE OFF.  LIGHT IS INTERMITTENT. REMOVED AND REPLACE NUMBER 2 ENGINE FUEL FILTER (AALA202605209972), PER MM 73-11-02. ALSO, REMOVED AND REPLACED FUEL FILTER DIFFERENTIAL PRESSURE SWITCH (AALA202605205803), PER MM 73-34-01. RAN ENGINE ALL PARAMETERS NORMAL AND LEAK CHECK GOOD."
AALA202605202624,05/19/2026,"2026-05-20T18:52:28.433-05:00",AALA,AALA,A,SW,21,A,5250,O,,,O,,,,NR,O,302SA,BOEING,7378,44468,16180,6080,,,,,,,,,,,,DOOR,,,STUCK,"ZONE 800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AIRCRAFT WAS NOT GROUNDED: FORWARD LAVATORY DOOR STICKS IN CLOSED POSITION. STRAIGHTENED BENT ALUMINUM TRIM. PER STANDARD PRACTICES."
AALA202605205779,05/17/2026,"2026-05-20T18:52:28.590-05:00",AALA,AALA,A,SW,21,A,5250,O,,,O,,,,NR,O,302SA,BOEING,7378,44468,16169,6073,,,,,,,,,,,,DOOR,,,JAMMED,"ZONE 800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AIRCRAFT WAS NOT GROUNDED: LAVATORY-D DOOR IS JAMMED CLOSED. RESET THE DOOR LOCK, OPS CHECK GOOD. PER CMM 25-40-64."
AALA202605202955,05/10/2026,"2026-05-20T18:52:28.760-05:00",AALA,AALA,A,SW,21,A,5630,O,,,K,,,,IN,V,901AN,BOEING,737823,29503,70322,29491,,,,,,,,,,,,WINDOW,,,SCRATCHED,"ZONE 800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AIRCRAFT IN BASE MAINTENANCE: CABIN RIGHT HAND FORWARD OVERWING EXIT DOOR OUTER WINDOW PANE IS SCRATCHED. REMOVED AND REPLACED CABIN RIGHT HAND FORWARD OVERWING EXIT DOOR WINDOW. PER AMM 56-22-00."
ABXA20260520217,05/20/2026,"2026-05-20T18:47:20.603-05:00",ABXA,ABXA,A,SW,99,A,3411,J,,,D,,,,TX,O,362CM,BOEING,767338,24316,117852,35095,,,,,,,,,,,ROSEMOUNT,"PITOT TUBE",0856LU5,311494,DEFECTIVE,"ZONE 100",11305,4474,11305,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DURING TAXI, CAPT'S PITOT HEAT INOP.  CREW RETURNED TO THE GATE (BTB). MTC REMOVED AND REPLACED LH UPPER PITOT-STATIC PROBE PER AMM 34-11-01. LEAK CK AND HEAT TEST GOOD. PERF LH AND RH ENGINE IDLE RUNS PER AMM 71-00-00. OPS CK GOOD. A/C REMAINS RVSM COMPLIANT. A/C NO ETOPS. A/C RETURNED TO SERVICE."
ASAA2026042066201,04/20/2026,"2026-05-20T22:43:16.117-05:00",ASAA,ASAA,A,NM,02,A,5312,O,,,K,,,,IN,V,464AS,BOEING,737990ER,40714,38179,11725,,,,,,,,,,,BOEING,BULKHEAD,143A948535,,CORRODED,"ZONE 100",,,,,,,,,,,,,,,500L,500L,26,L,26,R,,,,,25,L,25,R,,,,,2,,"FWD PIT AFT BULKHEAD STA 500L LOWER SUPPORT IS CORRODED. GROUNDED - YES. REMOVED AND REPLACED LOWER BLEND SUPPORT ANGLE IAW SRM 51-40-02-0G-0 STEP 7.A. 1-4 W= 2.0"" O= .080 R= .050 L= 3"" D= .030."
ASAA2026051966200,05/19/2026,"2026-05-20T22:43:16.287-05:00",ASAA,ASAA,A,NM,02,A,3350,O,,,K,,,,IN,V,535AS,BOEING,737890,35200,53939,16070,,,,,,,,,,,,"POWER SUPPLY",D71701100,,INOPERATIVE,"ZONE 200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"L1 DOOR, INTERIOR/EXTERIOR EMERGENCY LIGHT INOP. GROUNDED - YES. PERFORMED EMERGENCY LIGHTING T/S TO ISOLATE THE FAULT IAW B737 FIM 33-50 TASK 801. FOUND SUPPLY BATTERY PACK (M01675)LH INOPERATIVE, REMOVED AND REPLACED BATTERY PACK (M01675)LH IAW B737 AMM 33-51-06-960-805 AND PERFORMED TEST OF THE BATTERY PACK IAW B737 AMM 33-51-06-960-805 OPS TEST GOOD."
ASAA2026042766202,04/27/2026,"2026-05-20T22:43:16.467-05:00",ASAA,ASAA,A,NM,02,A,5315,O,,,K,,,,IN,V,464AS,BOEING,737990ER,40714,38179,11725,,,,,,,,,,,BOEING,FLOORBEAM,147A550423,,CORRODED,"ZONE 200",,,,,,,,,,,,,,,947,,,,,,,,,,9,R,57,R,208,,,,2,,"FLOORBEAM STA 947 IS CORRODED TOP SURFACE AT RH OTBD LAV MOUNT. GROUNDED - YES. REPAIRED FLOORBEAM STA 947 RBL9-RBL57 IAW ASA EA 900ER-53EA-30248 REV00W= .850"" O= .180"" R= .101"" L= 1.5"" D= .079."
ASAA2026042366203,04/23/2026,"2026-05-20T22:43:16.647-05:00",ASAA,ASAA,A,NM,02,A,5320,O,,,K,,,,IN,V,464AS,BOEING,737990ER,40714,38179,11725,,,,,,,,,,,BOEING,ANGLE,143A7502U159,,CRACKED,"ZONE 100",,,,,,,,,,,,,,,500J,,,,,,,,,,21,L,,L,155,,,,,,"FWD CARGO LT BS 500J BAFFLE CLIP FWD SIDE CRAKED. GROUNDED - YES. REMOVED AND REPLACED LT BS 500 J BAFFLE CLIP IAW BOEING SRM 51-40-05-0G-0, & 51-40-02-0G-0."
ASAA2026042366204,04/23/2026,"2026-05-20T22:43:16.823-05:00",ASAA,ASAA,A,NM,02,A,5320,O,,,K,,,,IN,V,464AS,BOEING,737990ER,40714,38179,11725,,,,,,,,,,,BOEING,ANGLE,143A7502U158,,CRACKED,"ZONE 100",,,,,,,,,,,,,,,500H,,,,,,,,,,21,R,,R,155,,,,,,"FWD CARGO BS 500H RT BAFFLE ANGLE FWD IS CRACKED. GROUNDED - YES. REMOVED AND REPLACED RT BAFFLE ANGLE FWD IAW SRM 51-40-05-0G-0, & 51-40-02-0G-0."
ASAA2026042066205,04/20/2026,"2026-05-20T22:43:17.007-05:00",ASAA,ASAA,A,NM,02,A,5320,O,,,K,,,,IN,V,464AS,BOEING,737990ER,40714,38179,11725,,,,,,,,,,,BOEING,ANGLE,143A7502U158,,CRACKED,"ZONE 100",,,,,,,,,,,,,,,500I,,,,,,,,,,21,R,,R,150,,,,,,"FWD CARGO RT BAFFLE BS 500I CLIP IS CRACKED. GROUNDED - YES. REMOVED AND REPLACED RT BAFFLE ANGLE STA 500 I I.A.W. BOEING SRM 51-40-05-0G-0, & 51-40-02-0G-0."
ASAA2026051166206,05/11/2026,"2026-05-20T22:43:17.187-05:00",ASAA,ASAA,A,NM,02,A,5313,O,,,K,,,,IN,V,464AS,BOEING,737990ER,40714,38179,11725,,,,,,,,,,,BOEING,STRINGER,143A3241110,,DAMAGED,"ZONE 100",,,,,,,,,,,,,,,500K,520,26,R,,R,,,,,18,R,,R,,,,,,,"STRINGER 26R HAS ELONGATED FASTENER HOLE AT STRINGER CLIP BS 500L. GROUNDED - YES. REPAIRED DAMAGED SECTION OF STRINGER 26R BETWEEN BS 500K - 520 IAW SRM 53-00-53-2R-1, REPAIR 1."
ASAA2026050766207,05/07/2026,"2026-05-20T22:43:17.387-05:00",ASAA,ASAA,A,NM,02,A,5340,O,,,K,,,,IN,V,464AS,BOEING,737990ER,40714,38179,11725,,,,,,,,,,,BOARD,"STRINGER CLIP",143A101048,,CRACKED,"ZONE 100",,,,,,,,,,,,,,,500L,,26,R,,R,,,,,18,R,,R,,,,,,,"STRINGER CLIP AT STA 500L CRACKED. GROUNDED - YES.  REMOVED AND REPLACED STRINGER CLIP IAW SRM 51-40-02-0G-0."
ASAA2026042166208,04/21/2026,"2026-05-20T22:43:17.567-05:00",ASAA,ASAA,A,NM,02,A,5320,O,,,K,,,,IN,V,464AS,BOEING,737990ER,40714,38179,11725,,,,,,,,,,,BOARD,"TRANSITION PANEL",146A750236,,CORRODED,"ZONE 100",,,,,,,,,,,,,,,"727+4",847,,,,,,,,,19,L,19,R,160,,,,2,,"AFT CARGO BAY, LT SIDEPLATE TRANSITION PANEL HAD SPOTS OF CORROSION BS 727+4 - 727K.  GROUNDED - YES. REMOVED AND REPLACED THE AFT CARGO LT SIDEPLATE TRANSITION PANEL USING SPLICE REPAIR FROM BS 727A+4 - 847 IAW SRM 53-00-53-2R-5."
ASAA2026042166209,04/21/2026,"2026-05-20T22:43:17.747-05:00",ASAA,ASAA,A,NM,02,A,5320,O,,,K,,,,IN,V,464AS,BOEING,737990ER,40714,38179,11725,,,,,,,,,,,BOEING,"TRANSITION PANEL",146A750236,,CORRODED,"ZONE 100",,,,,,,,,,,,,,,"727+4",727,,,,,,,,,21,R,,R,160,,,,2,,"AFT CARGO BAY, RH SIDEPLATE TRANSITION PANEL HAD SPOTS OF CORROSION BS 727C - 767. GROUNDED - YES. REMOVED AND REPLACED R/H SIDEPLATE TRANSTION PANEL USING SLPICE FROM BS 727+4 - 767 IAW SRM 53-0053-2R-5, REPAIR 5.   W=.800"" O=.040 R=.031 L=26"" D=.009."
ASAA2026042266210,04/22/2026,"2026-05-20T22:43:17.927-05:00",ASAA,ASAA,A,NM,02,A,5320,O,,,K,,,,IN,V,464AS,BOEING,737990ER,40714,38179,11725,,,,,,,,,,,,"FLOOR SUPPORT",143A524063143A52,,CRACKED,"ZONE 200",,,,,,,,,,,,,,,520,540,,,,,,,,,17,L,17,R,208,,1.000,,,,"CRACKS FOUND UNDER CENTER FLOOR STRUCTURE AT STATION 520. GROUNDED - YES. REMOVED AND REPLACED 2EA FLOOR SUPPORTS IAW B737-900 ER SRM 51-40-02-OG-O."
ASAA2026042066211,04/20/2026,"2026-05-20T22:43:18.107-05:00",ASAA,ASAA,A,NM,02,A,5320,O,,,K,,,,IN,V,464AS,BOEING,737990ER,40714,38179,11725,,,,,,,,,,,BOEING,BAFFLE,143A7502U155143A,,CRACKED,"ZONE 100",,,,,,,,,,,,,,,500K,,,,,,,,,,21,L,,L,155,,,,,,"FWD CARGO LT BAFFLE BS 500K FWD & AFT CLIPS ARE CRACKED. GROUNDED - YES. REMOVED AND REPLACED LT BAFFLE BS 500K IAW SRM 51-40-05-0G-0, & 51-40-02-0G-0."
ASAA2026042066213,04/20/2026,"2026-05-20T22:43:18.287-05:00",ASAA,ASAA,A,NM,02,A,5320,O,,,K,,,,IN,V,464AS,BOEING,737990ER,40714,38179,11725,,,,,,,,,,,BOEING,BAFFLE,143A751021,,CRACKED,"ZONE 100",,,,,,,,,,,,,,,500F,500G,,,,,,,,,21,L,,L,150,,,,,,"FWD CARGO BAY,  LT BAFFLE IS CRACKED BS 500F - 500G. GROUNDED - YES. REMOVED AND REPLACED LT BAFFLE BS 500F-500G IAW SRM 51-40-05-0G-0, & 51-40-02-0G-0."
ASAA2026050766214,05/07/2026,"2026-05-20T22:43:18.467-05:00",ASAA,ASAA,A,NM,02,A,5320,O,,,K,,,,IN,V,464AS,BOEING,737990ER,40714,38179,11725,,,,,,,,,,,BOEING,BAFFLE,143A751033,,CRACKED,"ZONE 100",,,,,,,,,,,,,,,400,420,,,,,,,,,24,L,25,L,160,164,,,,,"LEFT BAFFLE FOUND TO BE CRACKED AT BS 400 TO 420. GROUNDED - YES. REMOVED AND REPLACED LT BAFFLE AT FS400--420 IAW SRM 51-40-02, STEP 7.0.1-2."
ASAA2026042066215,04/20/2026,"2026-05-20T22:43:18.650-05:00",ASAA,ASAA,A,NM,02,A,5320,O,,,K,,,,IN,V,464AS,BOEING,737990ER,40714,38179,11725,,,,,,,,,,,BOEING,BAFFLE,143A7502U158,,CRACKED,"ZONE 100",,,,,,,,,,,,,,,500J,,,,,,,,,,21,R,,R,155,,,,,,"LEFT BAFFLE FOUND TO BE CRACKED AT BS 400 - 420. GROUNDED - YES. REMOVED AND REPLACED LT BAFFLE AT BS 400 - 420 IAW SRM 51-40-02, STEP 7.0.1-2."
DALA2026052103097,05/20/2026,"2026-05-21T10:07:59.287-05:00",DALA,DALA,A,SO,27,A,4990,K,B,,O,,,,NR,O,356NW,AIRBUS,A320212,818,80988,38354,,,,,,,,,,,,"OIL SYSTEM",,,LEAKING,APU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CREW REPORTS MUSTY HAZE IN CABIN, APU RUNNING PACKS OFF. TURNED ON PACKS, MADE ISSUE WORSE. WOULD NOT DISSAPATE UNTIL PACKS AND APU SHUT DOWN.  OPENED APU ACCESS DOORS FOR INSPECTION IAW AMM 52-41. INITIAL VISUAL INSPECTION, FOUND LARGE QTY OF OIL IN APU INLET.  REF LOG 1600573 FOR ADDITIONAL MSI PREVENTION INFORMATION, REF LOG 1600573 FOR WORK PERFORMED. (LP: 8678636). AIRCRAFT WAS GROUNDED"
